,店家名,緯度,經度,地址,
澎湖,,,,,
,小琉球獵戶座背包寨,22.34524498,120.3728239,929屏東縣琉球鄉中華路118號,
,InnOcean 在海裡潛水旅宿,22.34437855,120.3751217,929屏東縣琉球鄉中山路6-4號, ✔
,上福民宿 ,22.34688127,120.3717725,929屏東縣琉球鄉相埔路79-6號,
,自由空間旅宿 ,22.34867537,120.3786839,929屏東縣琉球鄉中山路51-5號2樓, ✔
,Sleep&go小琉球背包房,22.34599858,120.3739262,929屏東縣琉球鄉中興路289號2F,
,小琉球純 住宿True Hostel Xiao liuqiu,22.35109136,120.384165,929屏東縣琉球鄉三民路215號,
,Lixia Hostel 立夏旅宿,22.35028241,120.3803536,929屏東縣琉球鄉本漁路189號小琉球,
,小琉球船屋特色民宿,22.35223925,120.3820783,929屏東縣琉球鄉中山路224號,
,小琉球星月旅店,22.35142447,120.3813594,929屏東縣琉球鄉中山路116號,
,小琉球嗚啦啦聚所 oh la la Hostel,22.35086102,120.3768182,929屏東縣琉球鄉民族路88之1號1樓,
,燕燕青年旅店 Swallows Hostel,22.34581454,120.3872745,929屏東縣琉球鄉三民路20-3號,
,旅.Highway,22.33986896,120.3641047,929屏東縣琉球鄉復興路2之16號, ✔
,萊克民宿-小琉球民宿 包棟,22.34429349,120.3746582,92941屏東縣琉球鄉中山路11-1號,
,墨坊 - 海廢基地Morefun,22.34126879,120.3686944,92942屏東縣琉球鄉杉板路102號, ✔
,琉意旅宿,22.32975385,120.3586609,929屏東縣琉球鄉中正路1巷8號, ✔
,小琉球彼空映旅宿,22.34913525,120.3716671,929屏東縣琉球鄉杉福村復興路169之61號,
,濱境行旅 Begin Inn,22.3332163,120.3618554,"No. 19-3, 中興路琉球鄉屏東縣929",
,小琉球皮亞諾旅店,22.33775954,120.3752925,929屏東縣琉球鄉仁愛路42號,
,正好友生態環保旅店,22.35213574,120.3818531,929屏東縣琉球鄉中山路153號, ✔
,快樂小屋,22.34410228,120.3674602,929屏東縣琉球鄉復興路8之16號, ✔
,屏東小琉球海之旅民宿,22.34518176,120.3870889,929屏東縣琉球鄉三民路29-1號, ✔
,小琉球琉漾民宿,22.33093326,120.3641003,92942屏東縣琉球鄉忠孝路184-1號, ✔
,琉客棧民宿,22.33556501,120.3653856,929屏東縣琉球鄉中興路54之26號,
,Xpb民宿,22.33202882,120.3659103,929屏東縣琉球鄉中正路124-1號, ✔
,小琉球朵小路北歐民宿(Secret Path B&B),22.3510029,120.3743884,929屏東縣琉球鄉復興路163-2號,
,樓仔厝,22.35194671,120.3819036,929屏東縣琉球鄉中山路206號,
,Liuqiu Dive Hostel,22.34816292,120.385799,"No. 20-2, Lane 81, 本漁路琉球鄉屏東縣", ✔
,晴空宿,22.34286244,120.3684489,929屏東縣琉球鄉上杉路80之1號,
,空中花園聖誕屋,22.35271416,120.3823917,929屏東縣琉球鄉三民路297號,
,微浮包棟民宿,22.35012975,120.3796398,929屏東縣琉球鄉中山路81-1號,
,36潛旅店,22.34634442,120.3880366,929屏東縣琉球鄉三民路36號, ✔
,玩BOX Show琉球民宿,22.34779906,120.3660909,929屏東縣琉球鄉上杉路250之6號,
,小琉球【我們這一家輕旅宿】,22.34467758,120.3673092,929屏東縣琉球鄉上杉路130巷30號,
,七武海旅宿,22.34727677,120.3707178,929屏東縣琉球鄉相埔路102號, ✔
,極之宿,22.34474811,120.3669992,929屏東縣琉球鄉上杉路130巷3號,
,藍貝島潛水旅宿一館,22.34507397,120.3765757,929001屏東縣琉球鄉民權路50號之1, ✔
,首瓦包棟民宿,22.35133669,120.3803154,92941屏東縣琉球鄉中山路一巷50-2號,
,98旅店,22.34725272,120.370795,929屏東縣琉球鄉相埔路98號,
,貳拾捌旅店,22.34071095,120.3657689,929屏東縣琉球鄉上福村杉板路47之1號,
,小琉球 尊順祿藝術旅店,22.35093245,120.3813787,929屏東縣琉球鄉本漁路160巷13號,
,小火雞觀海民宿,22.34406068,120.3670404,929屏東縣琉球鄉復興路91-9號, ✔
,杉板灣Villa民宿 Shanban Bay Inn,22.34230751,120.3645151,929屏東縣琉球鄉肚仔坪路2號,
,旅境藝術旅店,22.35124416,120.3751657,929屏東縣琉球鄉復興路161-57號,
