店家名稱,緯度,經度,地址,背包客
TIAMAT? Diving Club × 苦水輕旅,21.95819405,120.7381062,94645屏東縣恆春鎮砂尾路26號,V
祥瑞潛水,21.95291098,120.7380132,946屏東縣恆春鎮大光里砂尾路17-6號,
放呆潛水俱樂部Fun Dive Club,21.95245875,120.7374906,946屏東縣恆春鎮砂尾路55-5號,
PureBlueDive,21.95056007,120.7412669,946屏東縣恆春鎮大光路10號,
La Sea Dive - 樂灣潛水,21.95018708,120.7399679,946屏東縣恆春鎮大光路28號,
墾丁海陸仔體驗潛水,21.94947122,120.7384498,946屏東縣恆春鎮大光路36號,
阿yao潛水趣,21.94912352,120.7388112,946屏東縣恆春鎮大光路48之3號,
WoW Dive 渥潛水,21.94913998,120.7390466,946屏東縣恆春鎮大光路47號946,V
好好潛水 GOOD DIVE,21.94810092,120.7404743,946屏東縣恆春鎮大光路95號,V
潛龍墾丁潛水中心,21.94757882,120.7399746,946屏東縣恆春鎮大光路97之6號,
CTdiver 墾丁PADI潛水中心,21.94797171,120.7410326,946屏東縣恆春鎮大光路85-5號,
E哥潛水休閒會館,21.94666186,120.7397882,946屏東縣恆春鎮大光路115-13號,
台客潛水TK.Diving,21.94642543,120.7340795,946屏東縣恆春鎮大光路56-55號,
深呼吸潛水渡假民宿 Azure Journey Dive & Villa,21.94574971,120.7388954,946屏東縣恆春鎮大光路120號-3號,V
台客＋,21.94471614,120.7395381,946屏東縣恆春鎮大光路123-9號,
南青潛水 DivePro,21.94577715,120.7424439,946屏東縣恆春鎮大光路79-45號,
墾丁安可浮潛,21.94565127,120.7425617,946屏東縣恆春鎮大光路79-32號,
泡泡隆潛水,21.94477882,120.7428344,946屏東縣恆春鎮大光路79-49號,
墾丁舒服潛水,21.94471662,120.7428546,946屏東縣恆春鎮大光路79-49號,
台灣潛水墾丁店,21.94309189,120.7363595,946屏東縣恆春鎮大光路55-60號,V
藍洞潛水Blue Hole Dive Center,21.94135213,120.7371167,946屏東縣恆春鎮大光路128-12號,V
徜洋潛水訓練中心,21.93829138,120.7351533,94646屏東縣恆春鎮大光路138-8號,
鯨目自由潛水,21.93743882,120.7335715,946屏東縣恆春鎮大光路138-2號,
光合樂潛水度假中心,21.93630504,120.7345034,946屏東縣恆春鎮大光路138之36號,V
墾丁南灣小浪花,21.93510059,120.7316745,946屏東縣恆春鎮大光路140-5號,
啊娃潛水 ? WaWa Dive Club ?,21.93189485,120.7309783,946屏東縣恆春鎮下泉路7-7號,
活力潛水中心,21.92886704,120.7331563,946屏東縣恆春鎮下泉路44號墾丁國家公園,
Drifters' Diving Club 浪兒潛水俱樂部,21.92800637,120.7321924,946屏東縣恆春鎮下泉路66-2號,
三鮫貓潛水,21.92861903,120.7327842,946006屏東縣恆春鎮下泉路47-2號,V
南勇浮潛企業社,21.94248158,120.7431704,946屏東縣恆春鎮大光路79-56號,
HDK旱鴨子自由潛水(HanDucK),21.94490758,120.7979983,946屏東縣恆春鎮墾丁路通海巷195號,V
自立潛水,21.93566407,120.8226125,946屏東縣恆春鎮船帆路842號,
